Korean,Correct,CorrectKorean,Wrong,WrongKorean
"아침으로 뭐 먹고 싶어?","What do you want for breakfast?","아침으로 뭐 먹고 싶어?","The cloud is purple.","구름이 보라색이에요."
"점심으로 샌드위치를 먹을까요?","Shall we have sandwiches for lunch?","점심으로 샌드위치를 먹을까요?","The car is flying.","차가 날고 있어요."
"친구에게 좋아하는 음식 물어보기","What's your favorite food?","네가 제일 좋아하는 음식은 뭐야?","The book is dancing.","책이 춤추고 있어요."
"저녁에 스파게티 먹고 싶어?","Do you want spaghetti for dinner?","저녁에 스파게티 먹고 싶어?","The tree is swimming.","나무가 수영하고 있어요."
"초콜릿 케이크를 좋아해?","Do you like chocolate cake?","초콜릿 케이크를 좋아해?","My shoes are laughing.","내 신발이 웃고 있어요."
"사과 주스를 마실래요?","Would you like some apple juice?","사과 주스를 마실래요?","The sun is green.","해가 초록색이에요."
"아빠에게 물을 달라고 하기","Can I have some water, please?","물 좀 주세요.","The moon is crying.","달이 울고 있어요."
"친구에게 아이스크림 먹으러 가자고 제안하기","Let's go get some ice cream!","아이스크림 먹으러 가자!","The fish is driving a car.","물고기가 차를 운전하고 있어요."
"배가 고파서 뭐 먹을까요?","What should we eat?","배가 고파서 뭐 먹을까요?","The bird is a superhero.","새가 슈퍼히어로예요."
"아빠와 함께 피자를 만들기","Let's make pizza together!","아빠와 함께 피자를 만들자!","The book is flying.","책이 날고 있어요."
"엄마가 좋아하는 음식 물어보기","What is mom's favorite dish?","엄마가 제일 좋아하는 음식은 뭐야?","The cat is singing.","고양이가 노래하고 있어요."
"친구에게 점심으로 샐러드 먹자고 제안하기","Let's have salad for lunch.","점심으로 샐러드 먹자!","The flower is sleeping.","꽃이 자고 있어요."
"아빠에게 저녁 준비됐는지 물어보기","Is dinner ready?","저녁 준비됐나요?","The ocean is dry.","바다가 말라 있어요."
"친구에게 레몬에이드 나누어 주기","Would you like some lemonade?","레몬에이드 마실래?","The mountain is dancing.","산이 춤추고 있어요."
"할머니에게 쿠키 드리기","Would you like a cookie, Grandma?","할머니, 쿠키 드릴까요?","The banana is laughing.","바나나가 웃고 있어요."
"친구에게 파스타 먹으러 가자고 제안하기","Let's go eat some pasta!","파스타 먹으러 가자!","My pencil is running.","내 연필이 달리고 있어요."
"엄마에게 커피 타드리기","Would you like some coffee, Mom?","엄마, 커피 드릴까요?","The river is flying.","강이 날고 있어요."
"친구에게 과일 나누어 주기","Do you want some fruit?","과일 먹을래?","The sky is yellow.","하늘이 노란색이에요."
"친구와 함께 케이크 만들기","Let's bake a cake together!","같이 케이크 만들자!","The clock is talking.","시계가 말하고 있어요."
"친구에게 같이 점심 먹자고 제안하기","Let's have lunch together!","같이 점심 먹자!","The rock is swimming.","돌이 수영하고 있어요."
"아빠에게 저녁 메뉴 물어보기","What's for dinner tonight?","오늘 저녁은 뭐 먹어요?","My bed is flying.","내 침대가 날고 있어요."
"엄마에게 좋아하는 디저트 물어보기","What's your favorite dessert, Mom?","엄마, 제일 좋아하는 디저트는 뭐에요?","The table is dancing.","테이블이 춤추고 있어요."
"친구에게 디저트 나누어 주기","Do you want some dessert?","디저트 먹을래?","The wall is singing.","벽이 노래하고 있어요."
"할아버지에게 차 드리기","Would you like some tea, Grandpa?","할아버지, 차 드릴까요?","The lamp is laughing.","램프가 웃고 있어요."
"친구에게 음료수 사주기","Can I get you a drink?","음료수 사줄까?","The hill is flying.","언덕이 날고 있어요."
"아빠에게 점심 준비됐는지 물어보기","Is lunch ready, Dad?","아빠, 점심 준비됐나요?","The shoes are dancing.","신발이 춤추고 있어요."
"친구에게 사탕 나누어 주기","Do you want some candy?","사탕 먹을래?","The rain is sleeping.","비가 자고 있어요."
"엄마와 함께 저녁 준비하기","Let's prepare dinner together!","같이 저녁 준비하자!","The fridge is talking.","냉장고가 말하고 있어요."
"친구에게 좋아하는 음료수 물어보기","What's your favorite drink?","제일 좋아하는 음료수가 뭐야?","The pencil is eating.","연필이 먹고 있어요."
"동생에게 사과 주기","Do you want an apple?","사과 먹을래?","The book is swimming.","책이 수영하고 있어요."
"엄마에게 점심 메뉴 물어보기","What's for lunch today?","오늘 점심은 뭐 먹어요?","The sun is purple.","해가 보라색이에요."
"친구에게 아침 먹으러 가자고 제안하기","Let's go eat breakfast!","아침 먹으러 가자!","The grass is laughing.","풀이 웃고 있어요."
"할머니에게 좋아하는 간식 물어보기","What's your favorite snack, Grandma?","할머니, 제일 좋아하는 간식은 뭐에요?","The house is dancing.","집이 춤추고 있어요."
"친구에게 점심 준비됐는지 물어보기","Is lunch ready yet?","점심 준비됐어?","The bird is driving a bus.","새가 버스를 운전하고 있어요."
"아빠에게 아침 먹고 싶다고 말하기","I want breakfast, please.","아침 먹고 싶어요.","The fish is singing.","물고기가 노래하고 있어요."
"친구에게 저녁 먹으러 가자고 제안하기","Let's go have dinner!","저녁 먹으러 가자!","The car is swimming.","차가 수영하고 있어요."
"엄마에게 간식 먹고 싶다고 말하기","I want a snack, please.","간식 먹고 싶어요.","The water is flying.","물이 날고 있어요."
"친구에게 쿠키 나누어 주기","Do you want a cookie?","쿠키 먹을래?","The moon is dancing.","달이 춤추고 있어요."
"할아버지에게 점심 메뉴 물어보기","What do you want for lunch, Grandpa?","할아버지, 점심으로 뭐 드실래요?","The dog is flying.","개가 날고 있어요."
"친구에게 아이스크림 먹으러 가자고 제안하기","Let's go eat ice cream!","아이스크림 먹으러 가자!","The tree is singing.","나무가 노래하고 있어요."
"엄마에게 저녁 먹으러 가자고 제안하기","Shall we go out for dinner?","저녁 먹으러 나갈까요?","The fridge is dancing.","냉장고가 춤추고 있어요."
"친구에게 점심 먹으러 가자고 제안하기","Let's go have lunch!","점심 먹으러 가자!","The computer is running.","컴퓨터가 달리고 있어요."
"아빠에게 좋아하는 디저트 물어보기","What's your favorite dessert, Dad?","아빠, 제일 좋아하는 디저트는 뭐에요?","The bike is swimming.","자전거가 수영하고 있어요."
"친구에게 저녁 메뉴 물어보기","What's for dinner?","저녁은 뭐야?","The clock is jumping.","시계가 점프하고 있어요."
